sku_id,on_hand,daily_demand,warehouse_utilization
SKU-04-0143,1424,211,0.8793
SKU-04-0144,751,249,0.8335
SKU-04-0145,810,202,0.8866
SKU-04-0146,2336,217,0.6321
SKU-04-0147,569,189,0.7519
SKU-04-0148,1492,197,0.8461
SKU-04-0149,1496,202,0.6434
SKU-04-0150,1122,187,0.6377
SKU-04-0151,1493,217,0.5603
SKU-04-0152,1744,174,0.9142
SKU-04-0153,2030,192,0.8198
SKU-04-0154,1186,222,0.7915
SKU-04-0155,1334,226,0.8327
SKU-04-0156,1119,216,0.752
SKU-04-0157,1574,215,0.7309
SKU-04-0158,1775,194,0.7208
SKU-04-0159,1107,219,0.7934
SKU-04-0160,1428,239,0.6266
SKU-04-0161,2559,225,0.8875
SKU-04-0162,718,209,0.8585
SKU-04-0163,1594,223,0.6828
SKU-04-0164,2031,216,0.7699
SKU-04-0165,784,180,0.6036
SKU-04-0166,709,207,0.9195
SKU-04-0167,938,221,0.8931
SKU-04-0168,2152,191,0.9003
SKU-04-0169,660,214,0.6762
SKU-04-0170,1160,247,0.6143
SKU-04-0171,646,197,0.6305
SKU-04-0172,903,226,0.5842
SKU-04-0173,2051,239,0.5956
SKU-04-0174,890,172,0.5771
SKU-04-0175,1746,215,0.9261
SKU-04-0176,1845,222,0.5781
SKU-04-0177,2299,216,0.6004
SKU-04-0178,666,219,0.8644
SKU-04-0179,2136,200,0.7705
SKU-04-0180,2040,238,0.8443
SKU-04-0181,822,184,0.7897
SKU-04-0182,1832,184,0.8852
SKU-04-0183,2193,205,0.7926
SKU-04-0184,1126,213,0.7484
SKU-04-0185,1893,168,0.8208
SKU-04-0186,1184,167,0.72
SKU-04-0187,1484,176,0.6815
SKU-04-0188,2337,197,0.7277
SKU-04-0189,1238,198,0.6145
SKU-04-0190,2291,222,0.8527
SKU-04-0191,1132,193,0.6491
SKU-04-0192,2151,211,0.6083
SKU-04-0193,2018,240,0.6436
SKU-04-0194,975,197,0.87
SKU-04-0195,1399,208,0.6755
SKU-04-0196,1277,218,0.8107
SKU-04-0197,855,231,0.8754
SKU-04-0198,732,224,0.5795
SKU-04-0199,1273,208,0.8407
SKU-05-0001,501,158,0.6669
SKU-05-0002,611,136,0.6323
SKU-05-0003,1391,146,0.8118
SKU-05-0004,1322,141,0.8957
SKU-05-0005,1968,204,0.6621
SKU-05-0006,820,140,0.7662
SKU-05-0007,1685,153,0.6601
SKU-05-0008,1444,173,0.7606
SKU-05-0009,794,192,0.7863
SKU-05-0010,614,143,0.7819
SKU-05-0011,1691,183,0.7869
SKU-05-0012,652,143,0.6013
SKU-05-0013,1173,155,0.8135
SKU-05-0014,2111,177,0.8064
SKU-05-0015,540,178,0.8094
SKU-05-0016,567,180,0.5781
SKU-05-0017,2185,183,0.7198
SKU-05-0018,1495,181,0.7054
SKU-05-0019,700,169,0.583
SKU-05-0020,1650,149,0.6345
SKU-05-0021,1824,167,0.7176
SKU-05-0022,1135,145,0.8323
SKU-05-0023,1315,153,0.6401
SKU-05-0024,879,161,0.8653
SKU-05-0025,625,181,0.7574
SKU-05-0026,1537,184,0.839
SKU-05-0027,797,141,0.7296
SKU-05-0028,1220,136,0.7397
SKU-05-0029,1642,156,0.7855
SKU-05-0030,522,165,0.9026
SKU-05-0031,1363,163,0.7369
SKU-05-0032,798,157,0.7509
SKU-05-0033,1847,170,0.7788
SKU-05-0034,808,153,0.8303
SKU-05-0035,1343,158,0.5773
SKU-05-0036,1509,189,0.746
SKU-05-0037,1077,164,0.733
SKU-05-0038,1547,170,0.9002
SKU-05-0039,1315,138,0.7375
SKU-05-0040,1426,176,0.728
SKU-05-0041,1395,142,0.9156
SKU-05-0042,1647,139,0.7212
SKU-05-0043,1192,176,0.6187
SKU-05-0044,1267,166,0.6324
SKU-05-0045,479,154,0.5862
SKU-05-0046,1677,165,0.5502
SKU-05-0047,1022,133,0.7141
SKU-05-0048,1007,151,0.8423
SKU-05-0049,600,156,0.8287
SKU-05-0050,1761,160,0.5622
SKU-05-0051,1009,154,0.7666
SKU-05-0052,1618,177,0.6086
SKU-05-0053,721,166,0.9076
SKU-05-0054,2144,184,0.6136
SKU-05-0055,746,162,0.7881
SKU-05-0056,681,142,0.674
SKU-05-0057,2178,203,0.7938
SKU-05-0058,1603,143,0.7067
SKU-05-0059,830,169,0.8387
SKU-05-0060,1410,195,0.6377
SKU-05-0061,1517,158,0.8942
SKU-05-0062,1527,140,0.7401
SKU-05-0063,1032,161,0.8373
SKU-05-0064,1378,180,0.8729
SKU-05-0065,1693,175,0.9296
SKU-05-0066,1562,163,0.6351
SKU-05-0067,1718,171,0.659
SKU-05-0068,1488,183,0.6452
SKU-05-0069,607,154,0.6499
SKU-05-0070,2071,186,0.7713
SKU-05-0071,1813,168,0.9275
SKU-05-0072,1741,171,0.9263
SKU-05-0073,671,172,0.7502
SKU-05-0074,794,164,0.7928
SKU-05-0075,1735,179,0.8768
SKU-05-0076,462,144,0.9045
SKU-05-0077,1878,159,0.6275
SKU-05-0078,876,137,0.7508
SKU-05-0079,1620,171,0.8665
SKU-05-0080,1758,160,0.6652
SKU-05-0081,1192,182,0.7171
SKU-05-0082,781,133,0.9245
SKU-05-0083,1323,156,0.9243
SKU-05-0084,1317,160,0.8943
SKU-05-0085,1303,195,0.8534
SKU-05-0086,1734,206,0.6523
SKU-05-0087,1690,148,0.6719
SKU-05-0088,1262,175,0.758
SKU-05-0089,801,168,0.7631
SKU-05-0090,1074,168,0.7421
SKU-05-0091,1270,194,0.7919
SKU-05-0092,798,191,0.7052
SKU-05-0093,790,177,0.8347
SKU-05-0094,1612,176,0.6767
SKU-05-0095,951,157,0.6757
SKU-05-0096,1855,160,0.5983
SKU-05-0097,779,150,0.6217
SKU-05-0098,681,175,0.8732
SKU-05-0099,1448,148,0.7196
SKU-05-0100,1967,180,0.6366
SKU-05-0101,963,175,0.8385
SKU-05-0102,848,176,0.7605
SKU-05-0103,668,143,0.558
SKU-05-0104,1570,204,0.6702
SKU-05-0105,1241,172,0.6173
SKU-05-0106,688,129,0.7992
SKU-05-0107,579,170,0.6545
SKU-05-0108,1305,178,0.5747
SKU-05-0109,1861,160,0.5709
SKU-05-0110,1313,148,0.7711
SKU-05-0111,1179,158,0.5583
SKU-05-0112,699,175,0.8725
SKU-05-0113,791,150,0.6091
SKU-05-0114,910,161,0.7805
SKU-05-0115,1769,179,0.719
SKU-05-0116,1917,176,0.7183
SKU-05-0117,1990,179,0.5773
SKU-05-0118,2277,192,0.855
SKU-05-0119,1575,133,0.8894
SKU-05-0120,1667,144,0.5542
SKU-05-0121,594,163,0.6179
SKU-05-0122,746,176,0.8935
SKU-05-0123,1045,182,0.7588
SKU-05-0124,1212,152,0.607
SKU-05-0125,616,159,0.6271
SKU-05-0126,1889,178,0.8008
SKU-05-0127,1248,146,0.8254
SKU-05-0128,1379,175,0.7778
SKU-05-0129,776,173,0.9122
SKU-05-0130,929,176,0.7377
SKU-05-0131,849,191,0.6641
SKU-05-0132,1653,155,0.7313
SKU-05-0133,1586,192,0.6867
SKU-05-0134,1462,152,0.6353
SKU-05-0135,980,173,0.5675
SKU-05-0136,1281,202,0.6838
SKU-05-0137,1123,169,0.8203
SKU-05-0138,1830,186,0.557
SKU-05-0139,1662,167,0.7169
SKU-05-0140,904,186,0.7947
SKU-05-0141,1893,165,0.782
SKU-05-0142,633,155,0.8451
SKU-05-0143,1981,179,0.858
SKU-05-0144,613,157,0.8204
SKU-05-0145,888,165,0.5891
SKU-05-0146,1678,158,0.7305
SKU-05-0147,868,188,0.7793
SKU-05-0148,1049,156,0.6433
SKU-05-0149,1290,183,0.5662
SKU-05-0150,672,129,0.635
SKU-05-0151,1390,148,0.7229
SKU-05-0152,1546,145,0.7073
SKU-05-0153,2011,185,0.6171
SKU-05-0154,866,143,0.8633
SKU-05-0155,1104,142,0.9018
SKU-05-0156,906,173,0.6265
SKU-05-0157,765,147,0.9032
SKU-05-0158,726,163,0.5568
SKU-05-0159,2051,179,0.9015
SKU-05-0160,1836,167,0.9117
SKU-05-0161,1180,118,0.5546
SKU-05-0162,1118,146,0.8399
SKU-05-0163,1201,162,0.9187
SKU-05-0164,1344,173,0.8942
SKU-05-0165,1268,162,0.9189
SKU-05-0166,912,132,0.7591
SKU-05-0167,699,167,0.5797
SKU-05-0168,558,135,0.8729
SKU-05-0169,1388,120,0.7833
SKU-05-0170,1042,142,0.7836
SKU-05-0171,1968,170,0.7086
SKU-05-0172,832,186,0.7673
SKU-05-0173,1222,153,0.6084
SKU-05-0174,803,165,0.8311
SKU-05-0175,882,167,0.5785
SKU-05-0176,471,144,0.8273
SKU-05-0177,509,125,0.8726
SKU-05-0178,1800,160,0.7295
SKU-05-0179,1020,173,0.7437
SKU-05-0180,1407,166,0.6686
SKU-05-0181,1142,159,0.9184
SKU-05-0182,1004,152,0.8286
SKU-05-0183,1184,152,0.6902
SKU-05-0184,848,181,0.6164
SKU-05-0185,2546,214,0.6334
SKU-05-0186,1555,150,0.7263
SKU-05-0187,1538,159,0.9082
SKU-05-0188,1126,156,0.829
SKU-05-0189,670,153,0.6318
SKU-05-0190,1715,152,0.8766
SKU-05-0191,1123,185,0.6937
SKU-05-0192,676,196,0.8737
SKU-05-0193,1076,177,0.6418
SKU-05-0194,1695,167,0.7851
SKU-05-0195,1170,136,0.9021
SKU-05-0196,1698,174,0.648
SKU-05-0197,1978,195,0.8133
SKU-05-0198,790,161,0.9252
SKU-05-0199,1663,147,0.6072
